gear,g_lon
1.0,0.44417068
1.0,0.04521794
1.0,-0.84604007
1.0,-1.1800125
1.0,-1.3992614
1.0,-1.5363144
1.0,-1.4328098
1.0,-1.1765313
1.0,-1.1088834
1.0,-1.4163839
1.0,-1.3381317
1.0,-1.303291
1.0,-1.3808023
1.0,-1.4660188
1.0,-1.2982677
1.0,-1.2884488
1.0,-1.4457417
1.0,-1.3859414
1.0,-1.1379235
1.0,-1.2060181
1.0,-1.32891
1.0,-1.403354
1.0,-1.2466134
1.0,-1.1608647
1.0,-1.1317437
1.0,-0.83487755
1.0,-0.5886354
1.0,-0.6326527
1.0,-0.6097345
1.0,-0.8238424
1.0,-0.90695095
1.0,-1.5561839
1.0,-0.8814132
1.0,-0.7324733
1.0,-0.49150315
1.0,-0.24220055
1.0,-0.14785464
1.0,-0.093429774
1.0,-0.054255277
1.0,0.035434186
1.0,0.050595134
1.0,0.09162325
1.0,0.13225406
1.0,0.16525887
1.0,0.18843694
1.0,0.19863564
1.0,0.19872883
1.0,0.20311166
1.0,0.21952248
1.0,0.28632513
1.0,0.41495997
1.0,0.54585165
1.0,0.23090704
1.0,-0.026318604
1.0,-0.02816536
1.0,-0.027885474
1.0,-0.027853005
1.0,-0.025464445
1.0,0.07822461
1.0,0.7279459
1.0,0.8667824
1.0,0.80047977
1.0,0.797536
1.0,0.81054324
1.0,0.7990457
1.0,0.7577977
1.0,0.7758892
1.0,0.77776
1.0,0.8060717
1.0,0.8113518
1.0,0.76619536
1.0,0.736857
1.0,0.86388046
1.0,0.74489
1.0,0.7279111
1.0,0.86756086
1.0,0.7962831
1.0,0.7510002
1.0,0.8398292
1.0,0.841588
1.0,0.834747
