brake_temp_lf,brake_temp_rf,brake_temp_lr,brake_temp_rr,tyre_press_lf,tyre_press_rf,tyre_press_lr,tyre_press_rr,tyre_tair_lf,tyre_tair_rf,tyre_tair_lr,tyre_tair_rr
382.643,382.3988,330.84198,331.1386,25.455294,25.66592,25.435503,25.498035,75.81999,73.847336,79.78051,79.39127
382.15475,381.91092,330.5318,330.8281,25.45591,25.665775,25.436537,25.498463,75.82643,73.84584,79.79129,79.39573
381.66672,381.42325,330.22162,330.5176,25.456501,25.665596,25.437542,25.498852,75.832596,73.844,79.80177,79.3998
381.1791,380.936,329.9116,330.2072,25.457077,25.665424,25.438507,25.499222,75.838615,73.84222,79.81184,79.40366
380.69174,380.449,329.60162,329.89694,25.457642,25.665234,25.439487,25.49961,75.84451,73.84023,79.822075,79.40773
380.20483,379.96243,329.2918,329.58682,25.458221,25.665071,25.440466,25.499998,75.85057,73.83856,79.83227,79.41178
379.71832,379.4763,328.9821,329.2768,25.458813,25.66492,25.441448,25.500404,75.856735,73.83701,79.84251,79.41604
379.23206,378.99036,328.6725,328.96683,25.459381,25.664768,25.442432,25.50083,75.862656,73.83543,79.85278,79.42046
378.74603,378.5047,328.36285,328.6569,25.459904,25.664564,25.44339,25.50122,75.86811,73.83331,79.862755,79.42455
378.26062,378.01965,328.05353,328.34723,25.460445,25.664398,25.44431,25.501583,75.87379,73.83161,79.87236,79.42833
377.77542,377.53476,327.7442,328.03757,25.460962,25.664207,25.44527,25.502,75.879166,73.82963,79.882385,79.43269
377.29053,377.05026,327.43497,327.728,25.461449,25.664013,25.446198,25.502384,75.88426,73.8276,79.892044,79.43671
376.80624,376.56635,327.126,327.4187,25.461975,25.663841,25.447096,25.502745,75.88973,73.82584,79.90141,79.44047
376.32217,376.0826,326.81708,327.10944,25.462475,25.663654,25.448036,25.503162,75.89497,73.823906,79.911224,79.44485
375.8385,375.5993,326.50833,326.80035,25.462976,25.66349,25.448956,25.503567,75.9002,73.8222,79.92081,79.44905
375.35516,375.11636,326.19965,326.49133,25.463446,25.663305,25.44986,25.503956,75.90511,73.8203,79.93025,79.45313
374.87234,374.6339,325.89114,326.18253,25.463942,25.66312,25.450752,25.50434,75.91028,73.818375,79.939545,79.45714
374.38986,374.15176,325.58276,325.87378,25.464409,25.662952,25.451664,25.504751,75.91517,73.81665,79.949066,79.46144
373.9078,373.67004,325.27454,325.56528,25.464882,25.662775,25.452557,25.505146,75.920105,73.814804,79.95838,79.465576
373.42615,373.18875,324.96643,325.25687,25.465338,25.662605,25.453445,25.505547,75.92486,73.81306,79.967636,79.46974
372.9449,372.7079,324.6585,324.94858,25.465778,25.662434,25.454332,25.505949,75.92946,73.81129,79.97689,79.473946
372.46408,372.22745,324.35074,324.64044,25.466219,25.662277,25.455204,25.506346,75.93406,73.80966,79.985985,79.478096
371.9838,371.74747,324.04312,324.33252,25.466665,25.662107,25.456068,25.506752,75.93873,73.8079,79.994995,79.48234
371.50394,371.26797,323.73572,324.02478,25.467089,25.661985,25.456936,25.507181,75.94315,73.80664,80.00405,79.486824
371.02435,370.7888,323.42838,323.71713,25.467499,25.661806,25.457798,25.507603,75.947426,73.804794,80.01306,79.49124
370.54538,370.31018,323.12128,323.4097,25.467907,25.661652,25.458618,25.507992,75.951706,73.80318,80.02159,79.495285
370.06696,369.83212,322.81442,323.1025,25.468338,25.661541,25.459465,25.508419,75.9562,73.80205,80.030426,79.49975
369.58878,369.35425,322.50763,322.79535,25.468735,25.661406,25.460344,25.508892,75.96035,73.800644,80.039604,79.504684
369.11102,368.87686,322.201,322.48837,25.46913,25.661259,25.461184,25.509293,75.96448,73.79914,80.048355,79.50887
368.63367,368.39987,321.89447,322.18155,25.469501,25.661068,25.461998,25.509682,75.96836,73.797165,80.056854,79.51293
368.15698,367.92352,321.5883,321.875,25.469906,25.660938,25.462818,25.51007,75.97258,73.79583,80.06541,79.517
